reference_index,net_profit,num_of_trade,code,std_ratio_thres,sma_len,sma_dir,candle_dir,candle_len,cycle,sl,tp
52,-1118.79,32,GN01_market_price_usd_ohlc_4h_BTC,2.5,10,above,positive,1,15,2,3
15254,-1119.66,37,GN04_market_price_usd_ohlc_4h_SUI,2.5,15,below,negative,4,20,1,7
896,-1119.93,52,GN01_market_price_usd_ohlc_4h_BTC,2.0,15,above,positive,2,20,1,5
2477,-1120.44,99,GN01_market_price_usd_ohlc_4h_BTC,2.0,20,below,negative,1,20,2,3
9714,-1120.84,79,GN03_market_price_usd_ohlc_4h_SOL,2.5,20,whatever,positive,4,10,1,10
9498,-1120.84,79,GN03_market_price_usd_ohlc_4h_SOL,2.5,15,whatever,positive,4,10,1,10
9666,-1120.84,79,GN03_market_price_usd_ohlc_4h_SOL,1.0,20,whatever,positive,4,10,1,10
9690,-1120.84,79,GN03_market_price_usd_ohlc_4h_SOL,2.0,20,whatever,positive,4,10,1,10
9450,-1120.84,79,GN03_market_price_usd_ohlc_4h_SOL,1.0,15,whatever,positive,4,10,1,10
9234,-1120.84,79,GN03_market_price_usd_ohlc_4h_SOL,1.0,10,whatever,positive,4,10,1,10
9258,-1120.84,79,GN03_market_price_usd_ohlc_4h_SOL,2.0,10,whatever,positive,4,10,1,10
9282,-1120.84,79,GN03_market_price_usd_ohlc_4h_SOL,2.5,10,whatever,positive,4,10,1,10
9474,-1120.84,79,GN03_market_price_usd_ohlc_4h_SOL,2.0,15,whatever,positive,4,10,1,10
11314,-1123.01,74,GN03_market_price_usd_ohlc_4h_SOL,1.0,15,below,negative,4,15,2,5
15224,-1125.53,75,GN04_market_price_usd_ohlc_4h_SUI,2.0,15,below,negative,4,20,1,5
669,-1126.36,72,GN01_market_price_usd_ohlc_4h_BTC,1.0,10,above,positive,2,10,2,10
6137,-1130.22,191,GN02_market_price_usd_ohlc_4h_ETH,1.0,15,below,negative,1,20,2,7
15634,-1132.27,59,GN05_market_price_usd_ohlc_4h_DOGE,1.0,10,below,positive,1,15,2,5
1097,-1133.89,61,GN01_market_price_usd_ohlc_4h_BTC,1.0,20,above,positive,2,20,2,7
6706,-1134.14,8,GN02_market_price_usd_ohlc_4h_ETH,1.0,15,above,negative,2,15,2,5
7846,-1135.76,25,GN03_market_price_usd_ohlc_4h_SOL,2.5,10,above,positive,1,15,2,10
7054,-1135.97,48,GN02_market_price_usd_ohlc_4h_ETH,2.5,20,below,negative,2,15,2,10
2936,-1136.73,33,GN01_market_price_usd_ohlc_4h_BTC,2.5,15,below,negative,2,20,1,5
14988,-1137.59,118,GN04_market_price_usd_ohlc_4h_SUI,1.0,10,below,negative,4,10,1,7
16493,-1138.03,36,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,below,positive,2,20,2,3
